TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base-devel,is a group package with sudo and compilation software
,git,is a version control system
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xinit,starts the graphical server
G,https://github.com/lukesmithxyz/st.git,is my custom build of suckless's terminal emulator
G,https://github.com/lukesmithxyz/dmenu.git,runs commands and provides a UI for selection
,ttf-inconsolata,is the monospace font of LARBS
,ttf-linux-libertine,provides the sans and serif fonts for LARBS
,ttf-roboto,sans serif for system
,ttf-hack,monospace font for system
,ranger,is an extensive terminal file manager that everyone likes
,arandr,is a UI for screen adjustment
,calcurse,is a lightweight terminal-based calendar
,compton,for transparency and removing screen-tearing
,bspwm,tiling window manager
,sxhkd,keybinding for bspwm
,lutris,game manager
,steam,steam game manager
,sc-controller,controller rebinder
,libvirt,libraries for Virtual Machines
,virt-manager,VM manager
,ebtables,vm network
,dsnmasq,vm network
G,https://github.com/JLErvin/sq,color theme manager
,thunar,file manager
,darktable,RAW photo manager
,rofi,dmenu like 
,cronie,manages scheduled tasks
,dosfstools,allows your computer to access dos-like filesystems
,dunst,is a suckless notification system
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,firefox,is the only program on LARBS your girlfriend has ever heard of
,arc-gtk-theme,dark theme
,arc-icon-theme,modern icons
,gvim,provides a build of vim with the ability to copy and paste between other programs
,mpd,is a lightweight music daemon
,mpc,is a terminal interface for mpd
,mpv,is the patrician's choice video/gif player
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor
,networkmanager,does exactly what it sounds like
,network-manager-applet,appears in the top right corner and manages the wi-fi connection
,newsboat,is a terminal RSS client
,ntfs-3g,allows accessing NTFS partitions
A,sc-im,is an Excel-like terminal spreadsheet manager
A,htop-vim-git,provides system usage information and displays processes
,scrot,can take quick screenshots at your request
,tmux,is a terminal multiplexer and the dropdown window in LARBS
A,unclutter-xfixes-git,hides an inactive mouse
,unrar,extracts rar's
,unzip,unzips zips
A,urlview,parses URLs in the terminal allowing keyboard-based selection
A,vim-pathogen,manages vim plugins
,wget,downloads sites and files on the command line
,xdotool,provides window action utilities on the command line.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,youtube-viewer,is a terminal interface for watching YouTube videos without a browser
,zathura,is a pdf viewer with vim-like bindings
,zathura-djvu,gives zathura the ability to read .djvu files
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura
,poppler,manipulates .pdfs and gives .pdf previews in ranger
,mediainfo,shows audio and video information and is used by ranger as well
G,https://github.com/alexanderjeurissen/ranger_devicons.git,gives folder and file icons in ranger
A,task-spooler,queues commands or files for download
,neofetch,display system information
,scribus,book or page editor
,psensor,monitor system temps
,pass,password manager
,qtpass,display for pass
,curl,get packages
,cvt,get monitor settings
,openvpn,VPM manager
,transmission-cli,torrent daemon and CLI
